Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
301204;gm. Krotoszyn;39798;32144
301205;gm. Rozdrażew;5180;4039
301206;gm. Zduny;7468;5850
301301;gm. Krzemieniewo;8436;6748
301302;gm. Lipno;7561;5733
301303;gm. Osieczna;8953;7122
301304;gm. Rydzyna;8880;6949
301305;gm. Święciechowa;7668;6022
301306;gm. Wijewo;3742;2874
301307;gm. Włoszakowice;9300;7164
301401;gm. Chrzypsko Wielkie;3297;2634
301402;gm. Kwilcz;6250;4964
301403;gm. Międzychód;18256;14683
301404;gm. Sieraków;8808;7005
301501;gm. Kuślin;5517;4290
301502;gm. Lwówek;9195;7186
301503;gm. Miedzichowo;3737;2995
301504;gm. Nowy Tomyśl;25640;20266
301505;gm. Opalenica;16231;12796
301506;gm. Zbąszyń;13594;10750
301601;gm. Oborniki;32838;26118
301602;gm. Rogoźno;17569;13862
301603;gm. Ryczywół;7370;5705
301701;m. Ostrów Wielkopolski;70930;59114
301702;gm. Nowe Skalmierzyce;15257;12260
301703;gm. Odolanów;14353;11496
