"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców ujętych w stałym obwodzie w CRW z urzędu na podstawie adresu stałego zameldowania";"Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek";"w tym liczba wyborców posiadających obywatelstwo krajów UE";"w tym liczba wyborców posiadających obywatelstwo UK";"Liczba osób pozbawionych prawa wybierania ogółem";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo krajów UE";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo UK"
"Powiat zgorzelecki";"";"";"";81601;67927;67316;611;2;0;212;0;0
"=""022501""";"m. Zawidów";"zgorzelecki";"Jelenia Góra";3788;3142;3125;17;0;0;5;0;0
"=""022502""";"m. Zgorzelec";"zgorzelecki";"Jelenia Góra";26779;22875;22676;199;0;0;82;0;0
"=""022503""";"gm. Bogatynia";"zgorzelecki";"Jelenia Góra";20852;17309;17167;142;0;0;67;0;0
"=""022504""";"gm. Pieńsk";"zgorzelecki";"Jelenia Góra";8252;6765;6710;55;0;0;19;0;0
"=""022505""";"gm. Sulików";"zgorzelecki";"Jelenia Góra";5712;4597;4543;54;0;0;8;0;0
"=""022506""";"gm. Węgliniec";"zgorzelecki";"Jelenia Góra";7630;6337;6293;44;0;0;16;0;0
"=""022507""";"gm. Zgorzelec";"zgorzelecki";"Jelenia Góra";8588;6902;6802;100;2;0;15;0;0
"Powiat złotoryjski";"";"";"";39956;33052;32852;200;3;0;112;0;0
"=""022601""";"m. Wojcieszów";"złotoryjski";"Jelenia Góra";3353;2773;2746;27;0;0;9;0;0
"=""022602""";"m. Złotoryja";"złotoryjski";"Jelenia Góra";13684;11535;11481;54;0;0;49;0;0
"=""022603""";"gm. Pielgrzymka";"złotoryjski";"Jelenia Góra";4323;3518;3489;29;1;0;5;0;0
"=""022604""";"gm. Świerzawa";"złotoryjski";"Jelenia Góra";6992;5790;5742;48;1;0;16;0;0
"=""022605""";"gm. Zagrodno";"złotoryjski";"Jelenia Góra";4902;4043;4029;14;1;0;20;0;0
"=""022606""";"gm. Złotoryja";"złotoryjski";"Jelenia Góra";6702;5393;5365;28;0;0;13;0;0
"Miasto na prawach powiatu";"";"";""
"=""026101""";"m. Jelenia Góra";"Jelenia Góra";"Jelenia Góra";68119;57991;57355;636;3;0;199;0;0
"Miasto na prawach powiatu";"";"";""
"=""026201""";"m. Legnica";"Legnica";"Legnica";85499;71029;70702;327;3;0;303;0;0
"Miasto na prawach powiatu";"";"";""
"=""026401""";"m. Wrocław";"Wrocław";"Wrocław";573958;466523;458104;8419;99;0;1344;0;0
"Miasto na prawach powiatu";"";"";""
"=""026501""";"m. Wałbrzych";"Wałbrzych";"Wałbrzych";91137;77957;77576;381;4;0;219;0;0
"Powiat aleksandrowski";"";"";"";52402;42920;42542;378;2;0;178;0;0
"=""040101""";"m. Aleksandrów Kujawski";"aleksandrowski";"Włocławek";11145;9175;9126;49;0;0;21;0;0
"=""040102""";"m. Ciechocinek";"aleksandrowski";"Włocławek";9658;8243;8138;105;0;0;20;0;0
"=""040103""";"m. Nieszawa";"aleksandrowski";"Włocławek";1792;1499;1455;44;1;0;3;0;0
"=""040104""";"gm. Aleksandrów Kujawski";"aleksandrowski";"Włocławek";11727;9321;9257;64;1;0;61;0;0
