Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
020808;gm. Lądek-Zdrój;kłodzki;Wałbrzych;7336;6271;6137;134
020809;gm. Lewin Kłodzki;kłodzki;Wałbrzych;1907;1565;1507;58
020810;gm. Międzylesie;kłodzki;Wałbrzych;6802;5585;5521;64
020811;gm. Nowa Ruda;kłodzki;Wałbrzych;10767;8912;8827;85
020812;gm. Radków;kłodzki;Wałbrzych;8384;6872;6796;76
020813;gm. Stronie Śląskie;kłodzki;Wałbrzych;6537;5557;5437;120
020814;gm. Szczytna;kłodzki;Wałbrzych;6799;5593;5555;38
Powiat legnicki;;;;52843;42379;41734;645
020901;m. Chojnów;legnicki;Legnica;11918;9831;9797;34
020902;gm. Chojnów;legnicki;Legnica;9046;7342;7226;116
020903;gm. Krotoszyce;legnicki;Legnica;3184;2555;2498;57
020904;gm. Kunice;legnicki;Legnica;7272;5729;5540;189
020905;gm. Legnickie Pole;legnicki;Legnica;5185;3874;3776;98
020906;gm. Miłkowice;legnicki;Legnica;6772;5375;5271;104
020907;gm. Prochowice;legnicki;Legnica;6988;5687;5651;36
020908;gm. Ruja;legnicki;Legnica;2478;1986;1975;11
Powiat lubański;;;;49514;41337;40963;374
021001;m. Lubań;lubański;Jelenia Góra;18605;15828;15749;79
021002;m. Świeradów-Zdrój;lubański;Jelenia Góra;3630;3067;3022;45
021003;gm. Leśna;lubański;Jelenia Góra;9053;7517;7441;76
021004;gm. Lubań;lubański;Jelenia Góra;6286;5094;5031;63
021005;gm. Olszyna;lubański;Jelenia Góra;6061;5039;4969;70
021006;gm. Platerówka;lubański;Jelenia Góra;1540;1255;1238;17
021007;gm. Siekierczyn;lubański;Jelenia Góra;4339;3537;3513;24
Powiat lubiński;;;;97471;79835;79117;718
021101;m. Lubin;lubiński;Legnica;63808;52934;52602;332
021102;gm. Lubin;lubiński;Legnica;16958;13347;13204;143
021103;gm. Rudna;lubiński;Legnica;7563;6041;5882;159
021104;gm. Ścinawa;lubiński;Legnica;9142;7513;7429;84
Powiat lwówecki;;;;41745;34901;34531;370
021201;gm. Gryfów Śląski;lwówecki;Jelenia Góra;8641;7293;7264;29
021202;gm. Lubomierz;lwówecki;Jelenia Góra;5481;4515;4424;91
021203;gm. Lwówek Śląski;lwówecki;Jelenia Góra;15786;13125;13017;108
021204;gm. Mirsk;lwówecki;Jelenia Góra;7899;6678;6600;78
021205;gm. Wleń;lwówecki;Jelenia Góra;3938;3290;3226;64
Powiat milicki;;;;35388;28442;28225;217
021301;gm. Cieszków;milicki;Wrocław;4629;3660;3599;61
