Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
021302;gm. Krośnice;milicki;Wrocław;7873;6270;6231;39
021303;gm. Milicz;milicki;Wrocław;22886;18512;18395;117
Powiat oleśnicki;;;;102471;82374;81744;630
021401;m. Oleśnica;oleśnicki;Wrocław;33643;27537;27323;214
021402;gm. Bierutów;oleśnicki;Wrocław;9251;7556;7493;63
021403;gm. Dobroszyce;oleśnicki;Wrocław;7043;5466;5376;90
021404;gm. Dziadowa Kłoda;oleśnicki;Wrocław;4543;3513;3494;19
021405;gm. Międzybórz;oleśnicki;Wrocław;5002;3977;3946;31
021406;gm. Oleśnica;oleśnicki;Wrocław;14579;11254;11158;96
021407;gm. Syców;oleśnicki;Wrocław;16085;13028;12961;67
021408;gm. Twardogóra;oleśnicki;Wrocław;12325;10043;9993;50
Powiat oławski;;;;72376;58467;57756;711
